Price,Prop_type,Size,Bath,Bed,City,Division
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
